title,country,release_year,type,is_recent
Alan Saldaña: Locked Up,Mexico,2021,Movie,True
Dancing Queens,Sweden,2021,Movie,True
From Stress to Happiness,Argentina,2020,Movie,True
Myriam Fares: The Journey,United Arab Emirates,2021,Movie,True
The Girl and the Gun,Philippines,2019,Movie,False
2 Hearts,United States,2020,Movie,True
Carnaval,Brazil,2021,Movie,True
Dream/Killer,United States,2015,Movie,False
Gold Statue,Nigeria,2019,Movie,False
The Meddler,United States,2015,Movie,False
The Wedding Guest,United Kingdom,2018,Movie,False
The Wind,United States,2019,Movie,False
Then Came You,United States,2019,Movie,False
Welcome Home,United States,2018,Movie,False
Bo Burnham: Inside,United States,2021,Movie,True
Collateral Beauty,United States,2016,Movie,False
Blue Miracle,United States,2021,Movie,True
Ghost Lab,Thailand,2021,Movie,True
Soy Rada: Serendipity,Argentina,2021,Movie,True
The Day I lost My Shadow,"Syria, France, Lebanon, Qatar",2018,Movie,False
Baggio: The Divine Ponytail,Italy,2021,Movie,True
Home,United States,2015,Movie,False
99 Songs,India,2021,Movie,True
Army of the Dead,United States,2021,Movie,True
Hating Peter Tatchell,Australia,2020,Movie,True
Small Town Crime,United States,2017,Movie,False
Amy Tan: Unintended Memoir,United States,2021,Movie,True
Sardar Ka Grandson,India,2021,Movie,True
Sleight,United States,2016,Movie,False
Ahaan,India,2021,Movie,True
Cinema Bandi,India,2021,Movie,True
Ferry,"Belgium, Netherlands",2021,Movie,True
I Am All Girls,South Africa,2021,Movie,True
Jungle Beat: The Movie,Mauritius,2021,Movie,True
Table Manners,"Canada, South Africa",2018,Movie,False
The Strange House,Austria,2020,Movie,True
The Woman in the Window,United States,2021,Movie,True
Tottaa Pataaka Item Maal,India,2018,Movie,False
Dance of the Forty One,"Mexico, Brazil",2021,Movie,True
Oxygen,"France, United States",2021,Movie,True
Illegal Woman,Spain,2020,Movie,True
Deadly Switch,United States,2019,Movie,False
Nayattu,India,2021,Movie,True
Sleepless,United States,2017,Movie,False
Super Me,China,2021,Movie,True
In Our Mothers' Gardens,United States,2020,Movie,True
Milestone,India,2021,Movie,True
Monster,United States,2021,Movie,True
Time to Dance,India,2020,Movie,True
Unrest,"United Kingdom, United States",2017,Movie,False
And Tomorrow the Entire World,"Germany, France",2020,Movie,True
Framing John DeLorean,United States,2019,Movie,False
The Clovehitch Killer,United States,2018,Movie,False
Aliens Stole My Body,United States,2020,Movie,True
JT LeRoy,"United Kingdom, Canada, United States",2018,Movie,False
S.M.A.R.T Chase,China,2018,Movie,False
Sitting in Limbo,United Kingdom,2020,Movie,True
Swiped,United States,2018,Movie,False
The Whole Truth,United States,2016,Movie,False
The Yeti Adventures,Canada,2018,Movie,False
The Disciple,India,2021,Movie,True
The Strangers: Prey at Night,"United States, United Kingdom",2018,Movie,False
Get the Grift,Brazil,2021,Movie,True
Between Worlds,Spain,2018,Movie,False
One,India,2020,Movie,True
Ram Prasad Ki Tehrvi,India,2019,Movie,False
Shadow and Bone - The Afterparty,United States,2021,Movie,True
Among Family,Turkey,2017,Movie,False
Dedemin Fisi,Turkey,2016,Movie,False
Dügün Dernek 2: Sünnet,Turkey,2015,Movie,False
Hayat Öpücügü,Turkey,2015,Movie,False
Heroes: Silence and Rock & Roll,Spain,2021,Movie,True
Kara Bela,Turkey,2015,Movie,False
Kocan Kadar Konus,Turkey,2015,Movie,False
Kocan Kadar Konus 2: Dirilis,Turkey,2016,Movie,False
My Travel Buddy,Turkey,2017,Movie,False
Niyazi Gül Dörtnala,Turkey,2015,Movie,False
One Like It,Egypt,2020,Movie,True
This Lady Called Life,Nigeria,2020,Movie,True
HOMUNCULUS,Japan,2021,Movie,True
Searching For Sheela,India,2021,Movie,True
Stowaway,"Germany, United States",2021,Movie,True
Oloibiri,"Canada, Nigeria, United States",2015,Movie,False
Tell Me When,Mexico,2021,Movie,True
Miss Sloane,"France, United States, United Kingdom, Canada",2016,Movie,False
Ajeeb Daastaans,India,2021,Movie,True
Arlo the Alligator Boy,United States,2021,Movie,True
Barbie & Chelsea: The Lost Birthday,United States,2021,Movie,True
Crimson Peak,"Canada, United States, Mexico",2015,Movie,False
Four Sisters Before the Wedding,Philippines,2020,Movie,True
Into the Beat,Germany,2020,Movie,True
Synchronic,United States,2020,Movie,True
The Zookeeper's Wife,"Czech Republic, United Kingdom, United States",2017,Movie,False
Time Trap,United States,2017,Movie,False
Tuesdays & Fridays,India,2021,Movie,True
Dark City Beneath the Beat,United States,2020,Movie,True
GANTZ:O,Japan,2016,Movie,False
Only Mine,United States,2019,Movie,False
Ride or Die,Japan,2021,Movie,True
The Soul,"China, Taiwan",2021,Movie,True
Uppena,India,2020,Movie,True
Why Did You Kill Me?,United States,2021,Movie,True
New Gods: Nezha Reborn,China,2021,Movie,True
The Stand-In,United States,2020,Movie,True
Night in Paradise,South Korea,2021,Movie,True
Ojukokoro: Greed,Nigeria,2016,Movie,False
Roohi,India,2021,Movie,True
Thunder Force,United States,2021,Movie,True
Two Distant Strangers,United States,2021,Movie,True
Story of Kale: When Someone's in Love,Indonesia,2020,Movie,True
Coded Bias,"United States, China, United Kingdom",2020,Movie,True
Mandela,India,2021,Movie,True
The Fisherman's Diary,Cameroon,2020,Movie,True
What Lies Below,United States,2020,Movie,True
Air Strike,China,2018,Movie,False
Concrete Cowboy,"United Kingdom, United States",2021,Movie,True
Cross: Rise of the Villains,United States,2019,Movie,False
God Calling,Nigeria,2018,Movie,False
Irul,India,2021,Movie,True
Just Say Yes,Netherlands,2021,Movie,True
Madame Claude,France,2021,Movie,True
Woody Woodpecker,United States,2017,Movie,False
Ibrahim a Fate to Define,"Lebanon, Palestine, Denmark, Qatar",2019,Movie,False
Into the Grizzly Maze,"United States, Canada",2015,Movie,False
Kingsglaive: Final Fantasy XV,"Japan, United States",2016,Movie,False
Madam Chief Minister,India,2020,Movie,True
S.W.A.T.: Under Siege,United States,2017,Movie,False
Seven Souls in the Skull Castle: Season Flower,Japan,2017,Movie,False
Sniper: Ghost Shooter,United States,2016,Movie,False
Starship Troopers: Traitor of Mars,"United States, Japan",2017,Movie,False
Tersanjung the Movie,Indonesia,2021,Movie,True
